,time_sent,user_id,id,is_positive,feedback_text,extracted_query,labels
12,2024-01-31,0d862dd4-3739-489f-bc39-2d24ef442b76,43,,,"Quote and cite relevant information from provided context based on the user query.
You only provide quotes that are EXACT substrings from provided documents!
If there are no documents provided, simply tell the user that there are no documents to reference.
You NEVER generate new text or phrases outside of the citation. DO NOT explain your responses, only provide the quotes and NOTHING ELSE.
You ALWAYS responds with ONLY a JSON containing an answer and quotes that support the answer.

REFERENCE DOCUMENTS:
--------------
DOCUMENT 1: all_idinsight
Source: Slack
Updated: January 22, 2024 13:53
```
Such a wholesome post and what looks like an amazing celebration! @alison you are such an amazing leader and friend, and we're so lucky to know and work with you. So sad to have missed this lunch. Happy 10 year  IDI-versary :tada:

Alison, thank you for all you've done to make IDinsight the organization it is today! We are so lucky to have had your presence and contributions over the years. Congratulations on this incredible milestone!

Such a great milestone and thank you for all you have done for IDinsight and being a great leader. :tada: :gift: :balloon: :boom: 

Such an incredible milestone, Alison. Thank you for all the work you have done to make IDinsight into what it is today. :thankful-fb:

So wonderful - congratulations, Alison!!

Alison- thank you, thank you, thank you for the amazing 10 years. I totally agree. You embody all the best things about IDinsight. And so much of IDinsight is what it is because of your vision of what it can and should be, your dedication to the people and mission. We are blessed to have you. 

Congratulations @alison! It's been a joy and pleasure working with you. I've greatly benefited from your insightful feedback, thoughtful questions during meetings, guidance, and insights on IDi processes, systems, and priorities. :thank_you:

Alison, what is this org without you? We have all grown from your intelligence, kindness, leadership, and friendship. Thank you so much for everything you've continued to give :blue_heart:

@alison! Thank you for all you've given us. You very much set the tone for me when I first joined, showing me what it meant to be a good IDinsighter. I know this is the case for many others, too, possibly even a majority of the org! You're always in the background, quietly making things better and we are very lucky for it!

Wow, what a milestone Alison. We are so lucky to have had you for all these years and the mark you've made on IDinsight and the growth of many teammates is just immense. Thank you so much for all you have done!

Huge congratulations @alison! Thank you for all your contributions and for being a joy to work with!
```


DOCUMENT 2: all_idinsight
Source: Slack
Updated: January 22, 2024 13:53
```
@alison big congratulations! It's been absolute pleasure to work with you and LEARN from you! We are lucky to have you!

Thank you for dedicating a full decade to social impact through IDinsight, @alison! We are so grateful and very lucky to have had you as a leader for so long. 

Happy 10th anniversary, Alison!! Thanks for choosing to spend so much of your career with us. So many people and projects have benefited from your wisdom and leadership. Excited to continue working together.
```


DOCUMENT 3: all_idinsight
Source: Slack
Updated: January 22, 2024 13:53
```
Hello everyone! Today we had the joy of celebrating :boom:*Alison Connor’s 10th IDi-versary*:boom: in Nairobi. Her start date was January 13, 2014 in Lusaka and since then, she’s been a force for impact, mentorship, and (Oxford comma) support to hundreds of IDinsighters in every corner of the IDi-verse:blue_heart:.

As an office, we shared words that represents @alison to us: caring, supportive, detail-oriented, resilient, multi-tasking, selfless, thoughtful, generous, excellent, committed, steadfast, tender, steady, calm, brilliant, foundational, and so many more. My favorite quote “Alison embodies all the best things about IDinsight.”

So many stories were shared of the quiet ways Alison loves everyone around her- delivering meals, showing up first for a wedding after travel, checking in with unwell folks, baking many an amazing cake, remembering everything, always available to help. As well as the visible, big efforts she drives to make sure IDinsight reaches our highest potential- jumping in to any project that needs her support (no matter how oversubscribed she already is), serving as a technical leader, building community with care, always asking hard questions about impact, taking on the hardest tasks, driving Unit4 and other system efforts, delivering her projects with excellence, thinking big picture about IDinsight and global health, building our trainings (multiple ones!), and so many, many other things. It's clear that no one of us sees all the things Alison does- quietly, with grace and no complaints, with her extraordinary talents and capabilities.

@alison, *thank you* for sharing 10 amazing years so far with IDinsight, including so many milestones for the org and you and your family (so glad that Jeremy, Ethan and Noah joined us- we missed napping Aidan). We are all better because of your heart, intellect, and commitment. The small gifts and very official certificate were small tokens of appreciation, and even our words don't do justice. THANK YOU! You are very loved and we're grateful to benefit from your leadership for this tremendous decade of growth :seedling: and evolution :deciduous_tree: at IDinsight!
```


DOCUMENT 4: strategic_comms
Source: Slack
Updated: September 06, 2022 17:00
```
Hello @channel!

:tada::idi-circle: *Today we share our 10-year impact retrospective that illustrates our journey and contribution to partners' impact over the last decade!* :idi-circle::tada:

It's the result of a nine-month-long internal analysis to understand what works to best support our partners with data and evidence.
*Check it out: <http://idinsight.org/10yearreport|idinsight.org/10yearreport>* 

It highlights how we grew from five visionary co-founders to 240+ extraordinary team members and shares how our services and approach evolved to meet the needs of our partners. Finally, it provides an estimate of our impact contribution from our internal learning exercise – *the number of lives improved and dollars allocated because of our work over ten years and <https://www.idinsight.org/publication/internal-impact-measurement-methodology/|our methodology> for calculating this.*

:mega: *Help us share this important story!*
• _View and share our impact microsite <http://idinsight.org/10yearreport|here>_.
• _We have put together <https://drive.google.com/file/d/16ET2wSvoXedxzN7zmRqAkgc_1naXWS-6/view?usp=sharing|this social media toolkit> to make it easy for you to amplify through your networks. (You just have to click to tweet!)_ 
    ◦ _*Don't forget to add our hashtags: #IDinsightat10 #IDinsight10yrs*_
• _Read our methodology <https://www.idinsight.org/publication/internal-impact-measurement-methodology/|here>._
And that's not all! @Ruth Levine shares what this analysis means for us in her <https://www.idinsight.org/article/idinsight-measuring-own-impact/|NEW blog> and where we go from here.

Wow, the microsite is absolutely incredible! Interactive yet simple to use. Real cool stuff, team! :boom:
```


DOCUMENT 5: User Manual_Alison Connor.docx
Source: Google Drive
Updated: February 23, 2022 15:50
```
IDinsight User Manual

Everything you need to know about working with: Alison Connor

19 Apr 2021





What are some honest, unfiltered things about you?

I think out loud a lot and am not naturally a structured thinking (but this is something I working on). 

I over-appreciate detail. 

Sometimes I vocalize dissent only later. 

What drives you nuts?

Macro-level – Complacency & entitlement

Micro-level – When people repeat things I say as it if it is their idea; poor grammar and spelling



What are your quirks?

I speak in examples a lot – don’t get caught up in the examples. 

I repeat my message and overexplain – I believe this is because my mother was a middle school teacher, not because I think you are dense.



How can people earn an extra gold star with you?

Be amazing at managing up

Ask for help when you need it

Be proactive

Take ownership and hold oneself accountable

Use my time well

Give me at least 24 hours to review something

What qualities do you particularly value in people who work with you?

Honesty

Eagerness to learn, to try something outside of their comfort zone

Curiosity



What are some things that people might misunderstand about you that you should clarify?

I don’t need everything to be perfect before it comes my way (but people should note that it is not in a final version)

People can talk to me about challenges and mistakes. I think this is an important part of learning.
```
--------------

Provide EXACT quotes from the provided documents above. Do not generate any new text that is not directly from the documents.

SAMPLE RESPONSE:
```
{""answer"": ""Place your final answer here. It should be as DETAILED and INFORMATIVE as possible."", ""quotes"": [""each quote must be UNEDITED and EXACTLY as shown in the context documents!"", ""HINT, quotes are not shown to the user!""]}
```

FINAL QUERY:
Tell me about alisons 10 year annviersary

Hint: Make the answer as DETAILED as possible and respond in JSON format! Quotes MUST be EXACT substrings from provided documents!",TEAMS
13,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,47,,,Hello,MISCELLANEOUS
14,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,49,,,Tell me about AAQ,TEAMS
15,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,52,,,Tell me about AAQ,PROJECTS
16,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,55,,,Who is Dinabandhu jI?,TEAMS
17,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,58,,,Tell me about AAQ,TEAMS
18,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,61,,,Hello,MISCELLANEOUS
19,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,64,,,Give me Unit4s link,RESOURCES
20,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,71,,,Tell me about AAQ,PROJECTS
21,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,74,,,My map has Hindi text on it but the script is wrong,MISCELLANEOUS
22,2024-02-01,0d862dd4-3739-489f-bc39-2d24ef442b76,76,,,My map has Hindi text on it but the script is wrong. What should I do?,MISCELLANEOUS
23,2024-02-02,0d862dd4-3739-489f-bc39-2d24ef442b76,80,,,Who is Zia?,TEAMS
24,2024-02-05,SLACK,83,,,Hello,MISCELLANEOUS
25,2024-02-05,SLACK,86,,,Tell me about how to fill timesheets on Unit4?,TEAMS
26,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,89,,,What is the latest news?,MISCELLANEOUS
27,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,92,,,What is the best way to cook eggs?,MISCELLANEOUS
28,2024-02-05,SLACK,95,,,Can you share the link to the ethics review form?,MISCELLANEOUS
29,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,98,,,Alison 10 years,TEAMS
30,2024-02-05,SLACK,101,,,Hello,MISCELLANEOUS
31,2024-02-05,SLACK,103,,,Tell me about Alison's 10 year anniversary please,TEAMS
32,2024-02-05,SLACK,107,,,Update me about everything that has happened on Ask a Question project over the last 1 year please,PROJECTS
33,2024-02-05,SLACK,110,,,Update me about the HPLS project over the last 6 months,MISCELLANEOUS
34,2024-02-05,SLACK,113,,,"In the context of the HPLS project, what is an LGU?",MISCELLANEOUS
35,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,115,,,Any updates on HPLS on the last 6 months?,PROJECTS
36,2024-02-05,SLACK,121,,,How can I erase a budget in unit4 ?,POLICIES
37,2024-02-05,7b7be047-2df8-48ca-9589-4d2719be4a84,124,,,where's the ombudsperson form? ,POLICIES
38,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,127,,,HPLS,MISCELLANEOUS
39,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,134,,,Is Dinabandhu based in Delhi?,TEAMS
40,2024-02-05,SLACK,137,,,What are the log in credentials for Devex,MISCELLANEOUS
41,2024-02-05,SLACK,140,,,Share some project spotlight examples,RESOURCES
42,2024-02-05,SLACK,143,,,Share links to project spotlight presentations,RESOURCES
43,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,146,,,What has been happening on HPLS in 2024?,PROJECTS
44,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,155,,,Who should I talk to to know more about the HPLS project?,TEAMS
45,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,162,,,Give me Sara Guinto's email ,TEAMS
46,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,165,,,Give me Sara Guinto's email from the HPLS project,TEAMS
47,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,168,,,Who is Sara Huinto?,TEAMS
48,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,171,,,Who is Sara Guinto,TEAMS
49,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,174,,,Who is Sarah Guinto,TEAMS
50,2024-02-05,0d862dd4-3739-489f-bc39-2d24ef442b76,177,,,I want to have a tech business of my own. I am familiar with data science (core skill) and good enough software engineering (frontend + backend + production deployment). Give me a daily list of things to do to achieve my goals along with deadlines and regular milestones,PROJECTS
51,2024-02-06,SLACK,180,,,What is the full form of DSEM?,MISCELLANEOUS
52,2024-02-06,SLACK,183,,,WHat is the full form of DSEM,MISCELLANEOUS
53,2024-02-06,SLACK,186,,,What is DSEM?,MISCELLANEOUS
54,2024-02-06,SLACK,189,,,What is the full form of DSEM?,MISCELLANEOUS
55,2024-02-06,SLACK,192,,,WHat is the full form of DSEM,MISCELLANEOUS
56,2024-02-06,SLACK,195,,,What is the full form of DSEM,MISCELLANEOUS
57,2024-02-06,SLACK,198,,,What is the full form of DSEM?,TEAMS
58,2024-02-06,SLACK,201,,,What is the full form of DSEM,RESOURCES
59,2024-02-06,SLACK,204,,,Is there a way i can get the invoices submitted on U4?,TEAMS
60,2024-02-06,SLACK,207,,,How can I export/download the invoices that have been submitted previously submitted onU4?,RESOURCES
61,2024-02-06,SLACK,210,,,Who is Zia?,TEAMS
62,2024-02-06,SLACK,213,,,What has Abhishek Sharma done over the last 1 year?,TEAMS
63,2024-02-06,SLACK,216,,,Tell me about random things that have happened in IDinsight over the last one year?,TEAMS
64,2024-02-06,SLACK,219,,,Share example Pre analysis plans please,MISCELLANEOUS
65,2024-02-06,SLACK,222,,,"From the IDinsight website, share the latest blog",MISCELLANEOUS
66,2024-02-06,SLACK,225,,,"From the IDinsight website, share the latest blog",MISCELLANEOUS
67,2024-02-06,SLACK,228,,,"From the website, share the latest blog",MISCELLANEOUS
68,2024-02-06,SLACK,231,,,Luminos fund RCT,RESOURCES
69,2024-02-06,0d862dd4-3739-489f-bc39-2d24ef442b76,234,,,Hello,MISCELLANEOUS
70,2024-02-06,0d862dd4-3739-489f-bc39-2d24ef442b76,237,,,What is AAQ?,TEAMS
71,2024-02-06,0d862dd4-3739-489f-bc39-2d24ef442b76,239,,,"Quote and cite relevant information from provided context based on the user query.
You only provide quotes that are EXACT substrings from provided documents!
If there are no documents provided, simply tell the user that there are no documents to reference.
You NEVER generate new text or phrases outside of the citation. DO NOT explain your responses, only provide the quotes and NOTHING ELSE.
You ALWAYS responds with ONLY a JSON containing an answer and quotes that support the answer.

REFERENCE DOCUMENTS:
--------------
DOCUMENT 1: AAQ Demo end-to-end test cases
Source: Google Drive
Updated: January 29, 2024 10:15
```
These changes are reflected on Playground"",1,6-1,Do steps 2-1~2-2 (fullaccess),Content cards are displayed,Suzin,Expected,,FALSE
,,,2,6-2,""Scroll to the bottom and click on """"+"""" card to add new content. 

Paste the following text:
""""Ask-a-question (AAQ) lets your users ask questions and receive answers from your content repository in their preferred language.""""
Then click """"Submit"""""",""The new content shows up amongst content cards. If you cannot find it, in the """"Filter"""" field type in """"AAQ"""" to check that it's there"",Suzin,Expected,,FALSE
,,,3,6-3,""Naviage to """"Playground"""""",Empty playground!,Suzin,Expected,,FALSE
,,,4,6-4,""Type in the question """"What is this tool called """"AAQ""""?"""" and click """"Send"""""",A dialogue requestion API Token pops up,Suzin,Expected,,FALSE
,,,5,6-5,""Enter the value for QUESTION_ANSWER_SECRET in Dashlane Secure Note """"AAQ Tokens"""""",""The send button turns into loading (and you cannot send any messages) 

Eventually you receive a reponse JSON. The top content is the content you just added, with text """"Ask-a-question (AAQ) lets your users ask questions and receive answers from your content repository in their preferred language."""""",Suzin,Expected,,FALSE
,,,6,6-6,Navigate back to Manage Content,Content cards are displayed,Suzin,Expected,,FALSE
,,,7,6-7,""Find the content you added.

Click on the edit button (pencil icon) on the bottom right of the card. 

Append the line """" It has features like support for low-resourced languages, WhatsApp connection, and message triaging.""""

Click """"Submit"""""",The AAQ card shows updated content,Suzin,Expected,,FALSE
,,,8,6-8,""Navigate to Playground and ask """"What is this tool called AAQ?
```


DOCUMENT 2: AAQ Demo end-to-end test cases
Source: Google Drive
Updated: January 29, 2024 10:15
```
"""""",""The send button turns into loading (and you cannot send any messages) and then a JSON response is shown

The top response is the AAQ content now with text """"Ask-a-question (AAQ) lets your users ask questions and receive answers from your content repository in their preferred language. It has features like support for low-resourced languages, WhatsApp connection, and message triaging."""""",Suzin,Expected,,FALSE
,,,9,6-9,""Navigate to Manage Content

Find the AAQ content you edited.

Click on the delete button (trashbin icon)"",A modal asks to confirm deletion,Suzin,Expected,,FALSE
,,,10,6-10,""Click on """"Confirm"""""",""The AAQ content is deleted. (Searching """"AAQ"""" in the """"Filter"""" box doesn't return any results)"",Suzin,Expected,,FALSE
,,,11,6-11,""Navigate back to Playground.

Type in the question """"What is this tool called """"AAQ""""?"""" and click """"Send"""""",The returned response does not contain any AAQ related content,Suzin,Expected,,FALSE
Core,7,""Content manager adds, edits, or deletes a content. The changes are reflected on WhatsApp."",,,,,,,,FALSE
Core,8,""A readonly user of Admin App tries to add, edit, or delete content. They are not able to do any of them."",,,,,,,,FALSE
Core,9,A user sends a question in an abusive manner (language) to AAQ. AAQ responds with relevant top answers.FALSE
Edge,10,AAQ user types irrelevant answers -- numbered menus,FALSE
Edge,11,AAQ user types irrelevant answers -- gibberish question,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,FALSE
,
```


DOCUMENT 3: projectupdates
Source: Slack
Updated: October 13, 2023 11:42
```
:star: :beginner:New Project Announcement: *Ask-A-Question 2.0*:beginner: :star:

Hello Team! We've got thrilling news to share about our work on Ask-A-Question (AAQ). Building on our successful partnership with Reach Digital (aka Praekelt) for MomConnect :flag-za: last year, we're ecstatic to announce that Google is now championing us to push the boundaries of our chatbot capabilities even further! :stars:

:date: Timeline and Commitments:
Thanks to an incredible $1.1M grant from Google, we're on a 2-year journey that would enable us to 1) rekindle our partnership with Reach and 2) infuse AAQ with cutting-edge AI features like:
• LLM-powered FAQ-matching :bookmark: and urgency detection :pregnant_woman::skin-tone-3::exclamation:
• Response in local languages like Zulu and Xhosa :speaking_head_in_silhouette:
• Multi-turn chat :speech_balloon:  and exchange over voice notes :microphone:
These are ambitious goals but with leaders like @Suzin and @Sid Ravinutala steering the ship :ship:, and a stellar :star: team featuring @Amir @Zia @Carlos (and many more to join), we're well-prepared for the voyage :sunny:

:globe_with_meridians: Expanding Horizons:
A portion of this funding is earmarked for 'productizing' AAQ, opening new frontiers with fresh clients in diverse contexts beyond South Africa and maternal health. We're also committed to open sourcing the codebase to foster community collaboration and innovation.

If any of these keywords - digital outreach, helplines, chatbots, AI, WhatsApp - resonate with you in the context of a client or a specific challenge, we are on the lookout for leads! Please reach out to me or @Sid Ravinutala

:pray: Gratitude:
This monumental project has involved the hard work of most DSEM team members at some point. A massive shoutout to everyone for your dedication and unwavering commitment. :raised_hands:
Stay tuned for more updates as we continue our journey to make AAQ a radiant star in our company's product portfolio.
```
--------------

Provide EXACT quotes from the provided documents above. Do not generate any new text that is not directly from the documents.

SAMPLE RESPONSE:
```
{""answer"": ""Place your final answer here. It should be as DETAILED and INFORMATIVE as possible."", ""quotes"": [""each quote must be UNEDITED and EXACTLY as shown in the context documents!"", ""HINT, quotes are not shown to the user!""]}
```

FINAL QUERY:
What is AAQ?

Hint: Make the answer as DETAILED as possible and respond in JSON format! Quotes MUST be EXACT substrings from provided documents!",MISCELLANEOUS
